Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
115949,Laimbach am Ostrong,2017,Niederösterreich,Donaugebiet zwischen Enns und March,513
104422,Lambrechten,2017,Oberösterreich,Inngebiet unterhalb der Salzach,396
101899,Landeck,2017,Tirol,Inngebiet oberhalb der Salzach,798
102640,Lanersbach,2017,Tirol,Inngebiet oberhalb der Salzach,1250
113316,Lieser-Lanisch,2017,Kärnten,Draugebiet,1725
106112,Liezen,2017,Steiermark,Ennsgebiet,670
112185,Ligist,2017,Steiermark,Murgebiet,370
115121,Lilienfeld-Tarschberg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,696
116004,Limbach,2017,Niederösterreich,Marchgebiet,575
112680,Limberg,2017,Steiermark,Murgebiet,450
104869,Linz (Stadt),2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,263
105726,Linz (Wasserwerk Scharlinz),2017,Oberösterreich,Traungebiet,260
104877,Linz-Urfahr,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,305
106377,Linzer Haus,2017,Oberösterreich,Ennsgebiet,1435
109249,Litschau,2017,Niederösterreich,Moldaugebiet,558
101469,Lochalm ML,2017,Tirol,Donaugebiet oberhalb des Inn,1430
105031,Lofer,2017,Salzburg,Salzachgebiet,625
113811,Loibltunnel,2017,Kärnten,Draugebiet,1097
110700,Loretto,2017,Burgenland,Leithagebiet,231
115006,Lucknerhütte,2017,Tirol,Draugebiet,2250
100917,Ludesch,2017,Vorarlberg,Rheingebiet,550
107029,Lunz am See,2017,Niederösterreich,Donaugebiet zwischen Enns und March,611
100446,Lustenau,2017,Vorarlberg,Rheingebiet,404
110387,Lutzmannsburg,2017,Burgenland,Rabnitzgebiet,206
102236,Längenfeld,2017,Tirol,Inngebiet oberhalb der Salzach,1180
119164,Längental,2017,Tirol,Inngebiet oberhalb der Salzach,2230
100305,Lünerseealpe,2017,Vorarlberg,Rheingebiet,2012
100297,Lünersee,2017,Vorarlberg,Rheingebiet,1906
100289,Lünerseealpe,2017,Vorarlberg,Rheingebiet,2018
100040,Madlener Haus,2017,Vorarlberg,Rheingebiet,1980
114108,Magdalensberg,2017,Kärnten,Draugebiet,920
109413,Mailberg,2017,Niederösterreich,Marchgebiet,208
107813,Maissau,2017,Niederösterreich,Donaugebiet zwischen Enns und March,333
114694,Maitratten-Sonnleiten,2017,Kärnten,Draugebiet,1000
113258,Mallnitz,2017,Kärnten,Draugebiet,1199
113399,Malta,2017,Kärnten,Draugebiet,830
110148,Mannersdorf am Leithagebirge,2017,Niederösterreich,Leithagebiet,193
110338,Mannersdorf an der Rabnitz,2017,Burgenland,Rabnitzgebiet,252
116020,Margarethen am Moos,2017,Niederösterreich,Donaugebiet zwischen Enns und March,168
110171,Maria Alm,2017,Salzburg,Salzachgebiet,810
107359,Maria Laach am Jauerling,2017,Niederösterreich,Donaugebiet zwischen Enns und March,594
105635,Maria Laah,2017,Oberösterreich,Donaugebiet zwischen Traun und Enns,358
107342,Maria Langegg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,495
112177,Maria Lankowitz,2017,Steiermark,Murgebiet,530
113597,Maria Luggau,2017,Kärnten,Draugebiet,1140
106310,Maria Neustift,2017,Oberösterreich,Ennsgebiet,609
119578,Maria Waldrast,2017,Tirol,Inngebiet oberhalb der Salzach,1590
116038,Maria-Anzbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,345
118570,Mariapfarr,2017,Salzburg,Murgebiet,1153
119297,Marienbergalm,2017,Tirol,Inngebiet oberhalb der Salzach,1640
109926,Mariensee,2017,Niederösterreich,Leithagebiet,869
111476,Markt Allhau,2017,Burgenland,Raabgebiet,327
109603,Markthof,2017,Niederösterreich,Marchgebiet,142
102376,Matrei am Brenner,2017,Tirol,Inngebiet oberhalb der Salzach,970
113050,Matrei in Osttirol,2017,Tirol,Draugebiet,1001
104349,Mattighofen,2017,Oberösterreich,Inngebiet unterhalb der Salzach,457
104331,Mattsee,2017,Salzburg,Inngebiet unterhalb der Salzach,508
109579,Matzen,2017,Niederösterreich,Marchgebiet,170
108274,Matzendorf-Hölles,2017,Niederösterreich,Donaugebiet zwischen Enns und March,291
111831,Mautern,2017,Steiermark,Murgebiet,753
105650,Mauthausen,2017,Oberösterreich,Donaugebiet zwischen Traun und Enns,247
100255,Langen am Arlberg,2017,Vorarlberg,Rheingebiet,1253
107771,Langenlebarn,2017,Niederösterreich,Donaugebiet zwischen Enns und March,175
107672,Langenlois,2017,Niederösterreich,Donaugebiet zwischen Enns und March,207
115956,Langenrohr,2017,Niederösterreich,Donaugebiet zwischen Enns und March,181
104661,Langhalsen,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,449
108977,Lasberg,2017,Oberösterreich,Donaugebiet zwischen Enns und March,575
109694,Lassee,2017,Niederösterreich,Marchgebiet,146
100222,Latschau,2017,Vorarlberg,Rheingebiet,1000
102178,Latschbloder,2017,Tirol,Inngebiet oberhalb der Salzach,2910
106336,Laussa,2017,Oberösterreich,Ennsgebiet,440
114876,Lavamünd,2017,Kärnten,Draugebiet,348
110866,Laßnitzhöhe,2017,Steiermark,Raabgebiet,524
101121,Lech,2017,Vorarlberg,Donaugebiet oberhalb des Inn,1480
119719,Leckfeldalm,2017,Tirol,Draugebiet,1920
119743,Leisacher Alm-Koflpaß,2017,Tirol,Draugebiet,1900
115113,Leiser Berge,2017,Niederösterreich,Marchgebiet,457
105403,Lenzing,2017,Oberösterreich,Traungebiet,465
115972,Leodagger,2017,Niederösterreich,Marchgebiet,284
105585,Leonding,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,287
109736,Leopoldsdorf im Marchfeld,2017,Niederösterreich,Donaugebiet zwischen Enns und March,151
110163,Lessach,2017,Salzburg,Murgebiet,1190
101303,Leutasch-Kirchplatzl,2017,Tirol,Donaugebiet oberhalb des Inn,1135
